,rank,disr,diss,dior,dios,diar,tots,rank,disr,diss,dior,dios,diar,tots,label
122,659.95,0.0,0.0,0.25,0.15,0.0,0.15,340.2898880289228,0.0,0.0,0.7163503994113789,0.36634754853252327,0.0,0.36634754853252327,0.0
123,640.952380952381,0.0,0.0,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,342.95152371588557,0.0,0.0,0.35856858280031806,0.35856858280031806,0.0,0.35856858280031806,0.0
124,661.15,0.0,0.0,0.05,0.1,0.0,0.1,340.4548466853996,0.0,0.0,0.22360679774997894,0.30779350562554625,0.0,0.30779350562554625,0.0
125,681.1052631578947,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,335.6386772072416,0.0,0.0,0.22941573387056177,0.0,0.0,0.0,0.0
126,641.2380952380952,0.0,0.0,0.0,0.047619047619047616,0.0,0.047619047619047616,343.2654810437404,0.0,0.0,0.0,0.21821789023599242,0.0,0.21821789023599242,0.0
127,660.3,0.0,0.0,0.0,0.0,0.0,0.0,339.6843891180846,0.0,0.0,0.0,0.0,0.0,0.0,0.0
128,659.95,0.0,0.0,0.05,0.05,0.0,0.05,339.9935719206591,0.0,0.0,0.22360679774997894,0.22360679774997894,0.0,0.22360679774997894,0.0
129,661.55,0.0,0.0,0.25,0.15,0.0,0.15,341.2153934640729,0.0,0.0,0.5501196042201808,0.36634754853252327,0.0,0.36634754853252327,0.0
130,660.3,0.0,0.0,0.4,0.35,0.0,0.35,340.1139282806958,0.0,0.0,0.5982430416161189,0.48936048492959283,0.0,0.48936048492959283,0.0
131,659.9,0.0,0.0,0.75,0.3,0.0,0.3,340.2932017509235,0.0,0.0,0.7863975156570492,0.5712405705774793,0.0,0.5712405705774793,0.0
132,660.9,0.0,0.0,0.7,0.4,0.0,0.4,339.8558363095803,0.0,0.0,0.8013147091860319,0.5026246899500346,0.0,0.5026246899500346,0.0
133,660.0,0.0,0.0,0.75,0.65,0.0,0.65,340.31022998372964,0.0,0.0,0.6386663736585051,0.5871429486123998,0.0,0.5871429486123998,0.0
134,660.2,0.0,0.0,0.55,0.45,0.0,0.45,340.9713060932655,0.0,0.0,0.6863327411532597,0.5104177855340405,0.0,0.5104177855340405,0.0
135,659.55,0.0,0.0,0.8,0.5,0.0,0.5,340.6644397736808,0.0,0.0,0.9514531821875087,0.6069769786668839,0.0,0.6069769786668839,0.0
136,662.2,0.0,0.0,0.8,0.45,0.0,0.45,340.5807115099614,0.0,0.0,1.151657843924872,0.6048053188292994,0.0,0.6048053188292994,0.0
137,660.95,0.0,0.0,0.4,0.25,0.0,0.25,340.42488544696454,0.0,0.0,0.5026246899500346,0.4442616583193193,0.0,0.4442616583193193,0.0
138,659.95,0.0,0.0,0.1,0.15,0.0,0.15,340.2915893604685,0.0,0.0,0.30779350562554625,0.36634754853252327,0.0,0.36634754853252327,0.0
139,659.8,0.0,0.0,0.15,0.1,0.1,0.15,340.47452953658353,0.0,0.0,0.36634754853252327,0.30779350562554625,0.30779350562554625,0.4893604849295929,0.0
140,660.35,0.0,0.0,0.05,0.05,0.4,0.4,339.9509678267085,0.0,0.0,0.22360679774997894,0.22360679774997894,0.8207826816681233,0.5982430416161189,0.0
141,660.25,0.0,0.0,0.0,0.0,0.65,0.3,340.4121147884382,0.0,0.0,0.0,0.0,0.9880869341680844,0.4701623459816272,0.0
142,634.2631578947369,0.0,0.0,0.05263157894736842,0.0,1.5263157894736843,0.2631578947368421,329.32925808970896,0.0,0.0,0.22941573387056177,0.0,2.0376571801031034,0.4524139283588641,0.0
143,683.5714285714286,0.0,0.0,0.0,0.047619047619047616,0.5238095238095238,0.09523809523809523,349.1079448291848,0.0,0.0,0.0,0.21821789023599242,0.8135752957807666,0.30079260375911915,0.0
144,633.578947368421,0.0,0.0,0.15789473684210525,0.15789473684210525,0.0,0.15789473684210525,329.3951216985923,0.0,0.0,0.37463432463267754,0.37463432463267754,0.0,0.37463432463267754,0.0
145,682.8571428571429,0.0,0.0,0.19047619047619047,0.19047619047619047,0.0,0.19047619047619047,349.28702891952423,0.0,0.0,0.40237390808147827,0.40237390808147827,0.0,0.40237390808147827,0.0
146,660.0,0.0,0.0,0.25,0.2,0.0,0.2,340.94296482426194,0.0,0.0,0.7163503994113789,0.4103913408340617,0.0,0.4103913408340617,0.0
147,659.8,0.0,0.0,0.4,0.3,0.0,0.3,340.9490778462534,0.0,0.0,0.5026246899500346,0.4701623459816272,0.0,0.4701623459816272,0.0
148,635.1052631578947,0.0,0.0,1.368421052631579,0.7894736842105263,0.0,0.7894736842105263,329.405676051893,0.0,0.0,1.01162829777814,0.6306035352846115,0.0,0.6306035352846115,0.0
149,685.8,0.0,0.0,0.4,0.4,0.0,0.4,357.4651400007971,0.0,0.0,0.8825799501580878,0.5026246899500346,0.0,0.5026246899500346,0.0
150,659.5238095238095,0.0,0.0,0.5714285714285714,0.42857142857142855,0.0,0.42857142857142855,331.809827920696,0.0,0.0,0.8106434833777776,0.5976143046671968,0.0,0.5976143046671968,0.0
